video_id,title,channel_name,tanggal,author,komentar,label,komentar_clean,predicted_label
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.365.543.736.410,agsol3529,"Keren
NATURAL BANGET O'ON-nya.",0,keren natural banget o'on-nya .,0
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,satrialuis,"gue sih udah ga heran kalo alexis17 , trending instagram",1,"gue sih udah ga heran kalo alexis17 , trending instagram",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.971.520.317.400,adityadava813,"Jersey kiper warnanya kuning, udh bnyak kesebar jg kyknya",0,"jersey kiper warnanya kuning , udh bnyak kesebar jg kyknya",0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.037.805.490,mahesah.0247,Bang coba bahas hp smangsum s 25 edge,0,bang coba bahas hp smangsum s 25 edge,0
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.155.035.080,ikhsanlaksono4704,pura pura ga liat😂,0,pura pura ga liat,0
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,widodolegawa,"kepo alexis17 , beruntung !",1,"kepo alexis17 , beruntung !",1
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.261.614.300,Offppp8748, @sandymartono7029  di kek i fakta g trimo wkwk buzzer2,0,di kek i fakta g trimo wkwk buzzer2,0
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.540.981.390,anggadhoskie254,Tumben banget😅,0,tumben banget,0
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,VictoriaSanford-p1w,keren alexis17 gampang kasih maxwin,1,keren alexis17 gampang kasih maxwin,1
zFhBO9uoGYA,INDONESIAN DRIFT SERIES TERAKHIR di sini,Om Mobi,2025-05-04 13:36:57+00:00,NinafurXR,"modal , untung , 𝐷оrа𝟩𝟳.mantap banget !",1,"modal , untung , 𝐷оrа𝟩𝟳.mantap banget !",1
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.365.896.690,adinugeroho,KOSONG BENER,0,kosong bener,0
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,Gillisashlinichols-o6f,"ok min , weton88",1,"ok min , weton88",1
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.646.360.117.920,Onespeedrev,Udah coba validasi datanya blm pak? Yakin gada gap?,0,udah coba validasi datanya blm pak ? yakin gada gap ?,0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.018.245.440,bigo2394,"orng2 yg beli nih hp udh ga mandang servis nya lagi, rusak ganti baru",0,"orng2 yg beli nih hp udh ga mandang servis nya lagi , rusak ganti baru",0
VAEyOCCBlx4,KING OF AEROX !! Modifikasi Yamaha Aerox Alpha Turbo by Nakano Garage #AtenxKatros,Atenx Katros,1.739.975.985.312.590,sandisofian1659,"Ini baru aerox tanpa Ngorok, gokill Mr Atenk..",0,"aerox ngorok , gokill mr atenk ..",0
XI8K0-_kbHc,GAK NYANGKA BISA BEGINI! PENGENDARA DIJALAN SAMPAI BINGUNG LIHAT HUMMER EV | GLAMOUR AUTO BOUTIQUE,Jejelogy,173.968.789.653.154,bamss114,torsi nya mas🙏,0,torsi nya mas,0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.416.237.804.170,rolandsampouw7501,Ishowspeed beli 3 kemarin pas ke China 😢😢😢,0,ishowspeed beli 3 kemarin pas ke china,0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,MayaOktaviani-m9r,aman ? 𝘼𝙇𝙀𝙓𝙄𝙎17 udah teraman ! .,1,aman ? 𝘼𝙇𝙀𝙓𝙄𝙎17 udah teraman ! .,1
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,173.994.616.235.453,adityaramadhan5482,6:07 bukannya mobil koh william itu ya?,0,6:07 mobil koh william ya ?,0
CLHTLViZ8Uc,NYOBAIN WARKOPOLIM GOFAR HILMAN GRIND BOYS‼️ Test Ride Mio Bore Up Injeksi Sekalian Kulineran,Den Dimas,2025-05-02 10:00:32+00:00,DonDiablo1991,sekali2 coba ─═𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵═─ dikasih sensa 1:42,1,sekali2 coba ─═𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵═─ dikasih sensa 1:42,1
n_mFKYFMtWY,"UBUR-UBUR IKAN LELE, INI SAYA JUAL LE !!! Ready Tiga Sasis + Body SR3 Siap Naik Livery.",Bus Pesona,173.995.145.397.184,GultomAmania-ut6zr,"No HP nya keren.
MAJU MAJU BOS BOS🎉",0,no hp nya keren . maju maju bos bos,0
aA9G2sW212g,PEVS 2025 banyak kejutan,Om Mobi,2025-04-30 11:15:00+00:00,latuponogaluh,gue rela begadang sampe pagi alexis17 .,1,gue rela begadang sampe pagi alexis17 .,1
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,Daramiller-s1j,epic moment 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1,epic moment 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1
CLHTLViZ8Uc,NYOBAIN WARKOPOLIM GOFAR HILMAN GRIND BOYS‼️ Test Ride Mio Bore Up Injeksi Sekalian Kulineran,Den Dimas,2025-05-02 10:00:32+00:00,naonnya8507,salam kuku ireng,1,salam kuku ireng,1
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,174.533.675.626.146,guritnoivan8314,sama saya juga..,0,sama saya juga ..,0
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.336.748.752.140,agusgunawan8927,Kenapa sya belum bisa liat peluang itu di raut wajah bapak,0,kenapa sya belum bisa liat peluang itu di raut wajah bapak,0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.026.499.540,FIrmansyah-ur2ql,Krennnnnnnni🎉🎉🎉🎉🎉,0,krennnnnnnni,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.266.349.340,mahardika206,si paling tau lo ye​ @ebonykkk-x7u ,0,si paling tau lo ye​ -x7u,0
8AzDe6gMOck,BRZ Farrel Siap untuk Indonesian Drift Series‼️,Garasi Drift,2025-05-02 09:00:09+00:00,McallisterBraedon-m6r,epic moment 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1,epic moment 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1
Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,WahyuKristanto-q3q,tau gitu aja main 𝘼𝙇𝙀𝙓𝙄𝙎17,1,tau gitu aja main 𝘼𝙇𝙀𝙓𝙄𝙎17,1
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.167.988.630,OPEN_LION_GAMING-,✦✦𝐦𝐚𝐧𝐮𝐭𝟖𝟖✦✦berlari mengejar kebahagiaan,1,✦✦𝐦𝐚𝐧𝐮𝐭𝟖𝟖✦✦berlari mengejar kebahagiaan,1
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.365.549.767.780,naningkahono9465,Belimbing sayur .. ngerti apa ..,0,belimbing sayur .. ngerti apa ..,0
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.394.225.175.570,luckyenom3046,Aduuuh Pandji Pandji.. Belum ada setengah jam udah mau skak mat 😅,0,aduuuh pandji pandji .. belum ada setengah jam udah mau skak mat,0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,b2MPlsVMhj,𝐷 𝘖 𝙍 𝐴 𝟽 𝟽 menawarkan pengalaman daring berbeda .,1,𝐷 𝘖 𝙍 𝐴 𝟽 𝟽 menawarkan pengalaman daring berbeda .,1
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.416.245.842.580,intanputri2131,bang tolong coba beli hp ip di toko pstore dan Riview,0,bang tolong coba beli hp ip di toko pstore dan riview,0
wbaneF-1auo,1M JOURNEY BORNEO 360: PANGKALAN BUN LUAR BIASA!,Ridwan Hanif,2025-05-03 03:01:07+00:00,KomangpbZaV,"ketahuan , bilang dо𝘙𝐀 𝟽𝟩 gacir banget !",1,"ketahuan , bilang dо𝘙𝐀 𝟽𝟩 gacir banget !",1
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,17.453.834.422.038,silverground3670,bro you tell too many facts and realities,0,bro you tell too many facts and realities,0
kUom1fDXs4A,MOBIL-MOBIL PALING KAMI SUKA DI IIMS 2025 | FEAT. OM MOBI,Fitra Eri,1.739.947.013.196.900,anggiapriyana-od4ze,Om review mobil koenigseg jesko yg baru datang di TDA dong 😅,0,om review mobil koenigseg jesko yg tda,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.325.952.130,fishybrad, @angeliart_ buzzer hoam bgt. jangan obvious bgt lah,0,buzzer hoam bgt . jangan obvious bgt lah,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.264.311.380,AnggoroDps_9,"Ngelantur itu otakmu, karena gak bisa nangkep.",0,"ngelantur itu otakmu , karena gak bisa nangkep .",0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,174.430.076.475.447,orioncamerastore,sepertinya ini editan karena jawaban sama pertanyaan ga sesuai🤣,0,sepertinya ini editan karena jawaban sama pertanyaan ga sesuai,0
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.387.186.167.250,analyticthinking,wapres ganti AI aja,0,wapres ganti ai aja,0
kUom1fDXs4A,MOBIL-MOBIL PALING KAMI SUKA DI IIMS 2025 | FEAT. OM MOBI,Fitra Eri,1.739.947.020.723.570,Rashyadelvintor,Penonton ke 507,0,penonton 507,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.964.330.875.760,RANDELLFurr,Jangan tunggu lama! Modal kecil 4:10 bisa jadi besar bareng M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳.,1,tunggu ! modal 4:10 bareng m𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳 .,1
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.046.905.610,adis.g6569,kek 50 jt itu daun aja. Negara uda kere,0,kek 50 jt itu daun aja . negara uda kere,0
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.555.317.770,Frank-o8h,16:09 masa iya NA pake intercooler😏,0,16:09 iya na pake intercooler,0
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,suryonowage,"sebulan main alexis17 , gue udah beli furniture !",1,"sebulan main alexis17 , gue udah beli furniture !",1
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,Yavuzilyas,temen kantor sampe penasaran gue happy — ya 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 .,1,temen kantor sampe penasaran gue happy — ya 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 .,1
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.152.397.500,obayadjah,Ayoo jadi ngabers lah😅,0,ayoo ngabers,0
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.161.846.760,ariantaziz7294,suatu saat gw mau beli. .,0,gw beli . .,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.330.430.580,EnokAisah-l1b,Gox bang karbida,0,gox bang karbida,0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.020.701.580,AndiNugraha-ow2we,Komen basi gini,0,komen basi gini,0
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.663.250.890,masgom99,Ganteng banget mobilnya mass✨,0,ganteng banget mobilnya mass,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,173.994.632.169.901,sandiwenaz8313,Meded pisan bro mantaaaaaapppp 🤟🤟🤟🤟,0,meded pisan bro mantaaaaaapppp,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.300.663.335.600,faldifarandi3381," @arcturus1893  Biasa orang tua emang gitu, yang ditanya apa yang dijawab apa",0,"biasa orang tua emang gitu , yang ditanya apa yang dijawab apa",0
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.542.185.460,tc1bodywork,MENYALA WIIII 🔥🔥🔥,0,menyala wiiii,0
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.740.007.358.800.770,secondeye1547,Bang Ziko modif motor langsung Rata kanan pasti😂😂,0,bang ziko modif motor langsung kanan,0
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.390.745.976.070,Baksodanmieayam_TUGU,Kurang tidur kebanyakan main PS doang,0,kurang tidur kebanyakan main ps doang,0
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,AsiyeKeziban,"bosen , rame gara-gara p͎u͎l͎a͎u͎w͎i͎n͎ .",1,"bosen , rame gara-gara p͎u͎l͎a͎u͎w͎i͎n͎ .",1
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.348.854.390,pancasigitsutrisyanto,Najwa sihab the real MVP tanyanya berbobot jawabanya narkoba 😅 kasihan,0,najwa sihab the real mvp tanyanya berbobot jawabanya narkoba kasihan,0
aA9G2sW212g,PEVS 2025 banyak kejutan,Om Mobi,2025-04-30 11:15:00+00:00,lamarrajasa,orang bilang alexis17 tuh bener-bener asli .,1,orang bilang alexis17 tuh bener-bener asli .,1
wbaneF-1auo,1M JOURNEY BORNEO 360: PANGKALAN BUN LUAR BIASA!,Ridwan Hanif,2025-05-03 03:01:07+00:00,Euis3uTce,"berkah rezeki berkat 𝐀h𝑀𝘈𝐃𝐓о𝑇o , puji syukur !",1,"berkah rezeki berkat 𝐀h𝑀𝘈𝐃𝐓о𝑇o , puji syukur !",1
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.015.933.960,achmadrijal3730,gua udah beli tadi,0,gua udah beli tadi,0
aA9G2sW212g,PEVS 2025 banyak kejutan,Om Mobi,2025-04-30 11:15:00+00:00,sabrifirmansyah-x7w,"alexis17 , tuh emang bener-bener beda sih , rtpnya tertinggi pasaran",1,"alexis17 , tuh emang bener-bener beda sih , rtpnya tertinggi pasaran",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,173.997.512.982.914,KelleeBerg,terimakasih rekomendasi link gacirnya kakak mandalika77,1,terimakasih rekomendasi link gacirnya kakak mandalika77,1
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.548.549.250,ridho.h.f,Crosstrek mana bang,0,crosstrek bang,0
kUom1fDXs4A,MOBIL-MOBIL PALING KAMI SUKA DI IIMS 2025 | FEAT. OM MOBI,Fitra Eri,1.739.947.013.433.910,GujaratRahmat-v7w,"Swert Bonanja gacir pol, puas banget",1,"swert bonanja gacir pol , puas banget",1
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,hardiansyahelvin,"alexis17 , tuh emang bener-bener ngubah hidup gue , susah makmur",1,"alexis17 , tuh emang bener-bener ngubah hidup gue , susah makmur",1
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.026.488.950,ariefcell7169,Dan aakhirnya david jajal huaweiiii 🥰😍,0,dan aakhirnya david jajal huaweiiii,0
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.161.854.680,ridwaninkclmax5464,gas modif motor di channel ziko 9:31,0,gas modif motor channel ziko 9:31,0
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.369.167.680.040,irfanfebrianto5733,Cara ngelihat angka dislike gmn ya?,0,cara ngelihat angka dislike gmn ya ?,0
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,kurniawanpangeran,gak takut ditipu kalo main alexis17 .,1,gak takut ditipu kalo main alexis17 .,1
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.078.385.341.410,AkbarAkbar-q4z6m,Menyakiti mobil emnga elu😂😂😂 wan wan,0,menyakiti mobil emnga elu wan wan,0
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.379.961.578.690,chandrap8693,Buahaha saya hanya mampir baca koment videonya saya pause 😂,0,buahaha saya hanya mampir baca koment videonya saya pause,0
zFhBO9uoGYA,INDONESIAN DRIFT SERIES TERAKHIR di sini,Om Mobi,2025-05-04 13:36:57+00:00,Jamesk9vQP,𝐷оrа𝟩𝟳 menyediakan bentuk hiburan unik sukai .,1,𝐷оrа𝟩𝟳 menyediakan bentuk hiburan unik sukai .,1
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,hidayatopan-y2o,"alexis'17 cba , langsung bawa pulang cuan gede",1,"alexis'17 cba , langsung bawa pulang cuan gede",1
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,173.882.553.183.363,faa3457-k9l,ini setengah nyindir?,0,nyindir ?,0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,MayaHasibuan-q3j,"𝘼𝙇𝙀𝙓𝙄𝙎17 tuh emang bener-bener beda sih , rtpnya gila-gilaan",1,"𝘼𝙇𝙀𝙓𝙄𝙎17 tuh emang bener-bener beda sih , rtpnya gila-gilaan",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.337.347.200,petpanArora-v9e,👍 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓 👌,1,𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓,1
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.547.637.630,PrustyHamelin-r9k,"Rezeki hari ini datang terus dari 𝘈𝘎𝑈𝙎𝘛𝙊𝐓O,senang banget rasanya!",1,"rezeki 𝘈𝘎𝑈𝙎𝘛𝙊𝐓o , senang banget !",1
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.344.245.843.900,fandyofficial06,Jual ginjal sana pasti bisa kebeli 🤣🤣,0,jual ginjal sana pasti bisa kebeli,0
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.369.177.530.300,Israel.orginated,Usia produktif tapi lapangan kerja suram. 😂😂😂,0,usia produktif tapi lapangan kerja suram .,0
5MBwJpU-9tg,"Rifat Sungkar Mau Bikin Sirkuit⁉️ | Dipo, Ziko Belajar Dari Suhu Motorsports",Garasi Drift Podcast,2025-04-30 09:00:07+00:00,respatimangunsong,ga sia sia maen dialexis17 beneran gua wd,1,ga sia sia maen dialexis17 beneran gua wd,1
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,17.453.870.476.161,OrngSawah,Ribet bngtt sii konsepnya,0,ribet bngtt sii konsepnya,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.646.326.912.380,capitbiru2767, @AnggoroDps_9  joget dulu dong boy,0,joget dulu dong boy,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.559.946.927.590,justneo30200,JOE BIDEN versi LOKAL,0,joe biden versi lokal,0
XI8K0-_kbHc,GAK NYANGKA BISA BEGINI! PENGENDARA DIJALAN SAMPAI BINGUNG LIHAT HUMMER EV | GLAMOUR AUTO BOUTIQUE,Jejelogy,1.739.601.489.689.320,mohfajri9224,Om blh tau knp hummer jarang atau g ada yg pake off road,0,om blh tau knp hummer jarang g yg pake off road,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.293.883.580,farhanmfirdaus3779, @anwarproyek3899 jadi mau anda presiden yang jago ngibul itu om?(anies baswedan),0,jadi mau anda presiden yang jago ngibul itu om ? ( anies baswedan ),0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.387.432.515.000,didostevano3608,"Fix abis ini gua bklan beli..., 


Seblak 😌",0,"fix abis ini gua bklan beli ... , seblak",0
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.168.765.110,ahmadnafiuddin6017,Lambo LBWK nih,0,lambo lbwk nih,0
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,174.541.222.881.565,HollySturgeon-w4o,Gw paling demen gas di 🚩𝐒𝐆𝐈𝟖𝟖🚩 wkwkwkww seru. Harus sering2 sih ini mah,1,gw paling demen gas di 𝐒𝐆𝐈𝟖𝟖 wkwkwkww seru . harus sering2 sih ini mah,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.978.735.071.140,KiyokoAndrus,oke mandalika77 gas gas gas,1,oke mandalika77 gas gas gas,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.336.063.350,prabunusantara1322,Buset jud0lnya banyak bgy,0,buset jud0lnya bgy,0
8AzDe6gMOck,BRZ Farrel Siap untuk Indonesian Drift Series‼️,Garasi Drift,2025-05-02 09:00:09+00:00,YuliaHandayani-c8g,𝐏𝐋𝐔𝐓𝐎𝟖𝟖 emang berbeda,1,𝐏𝐋𝐔𝐓𝐎𝟖𝟖 emang berbeda,1
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,174.539.420.727.244,Krisna9tR9w,"CS ramah, proses gampang, pokoknya oke",1,"cs ramah , proses gampang , pokoknya oke",1
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.415.847.612.240,LestariYunita-i9f,"Baru seminggu join ALEXIS⭐17⭐, gue udah bisa beliin ortu tiket umroh!",1,"baru seminggu join alexis17 , gue udah bisa beliin ortu tiket umroh !",1
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,174.539.422.735.686,DanuV5jZF,"ertepe-nya tinggi banget, nggak nyesel maen",1,"ertepe-nya tinggi banget , nggak nyesel maen",1
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.387.036.677.270,Arieper55,2 orang marah-marah :_LOL::_LOL::_LOL::_LOL::_LOL:,0,2 orang marah-marah : _lol : :_lol : :_lol : :_lol : :_lol :,0
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.415.975.556.240,afitrevand2475,buseh komen nye udh terwakili semua 😅😅😅😅😂😂😂😂,0,buseh komen nye udh terwakili semua,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,17.444.734.733.898,kkuchanel1083,"Hello, lelaki sejati bro, sedikit bicara banyak bertindak,",0,"hello , lelaki sejati bro , sedikit bicara banyak bertindak ,",0
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,ArteagaMaltsev-b6s,"modal , untung , 𝑺𝑼𝑯𝑼𝟑𝟐𝟖 . mantap banget !",1,"modal , untung , 𝑺𝑼𝑯𝑼𝟑𝟐𝟖 . mantap banget !",1
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,iansatria-i7w,orang bilang alexis17 tuh bener-bener ngebantu ekonomi .,1,orang bilang alexis17 tuh bener-bener ngebantu ekonomi .,1
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,purwadiwahyudin,alexis17 ! tuh emang bener-bener ngasih peluang orang sultan sejati,1,alexis17 ! tuh emang bener-bener ngasih peluang orang sultan sejati,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.331.511.010,PflowersTheron-s8z,The best tahun ini di 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓 pasti byar!,1,the best 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓 byar !,1
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.260.985.550,aurdayy,salut bgt para jurnalis bisa nahan diri buat ga gebrak meja,0,salut bgt para jurnalis bisa nahan diri buat ga gebrak meja,0
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.379.816.599.570,FootballEveryday-c1m,"24:21 INI GIMANA GUA SKAT, LU MATI 😂😂😂",0,"24:21 ini gimana gua skat , lu mati",0
